id_escala;id_medico;id_tempo;status_presenca;horas_atraso
90765;1;20251201;Presente;0.0
90766;2;20251201;Presente;0.0
90767;3;20251201;Atraso;1.7
90768;4;20251201;Atraso;1.3
90769;5;20251201;Presente;0.0
90770;1;20251202;Falta Justificada;0.0
90771;2;20251202;Presente;0.0
90772;3;20251202;Presente;0.0
90773;4;20251202;Presente;0.0
90774;5;20251202;Atraso;0.6
90775;1;20251203;Presente;0.0
90776;2;20251203;Falta Justificada;0.0
90777;3;20251203;Presente;0.0
90778;4;20251203;Presente;0.0
90779;5;20251203;Falta Justificada;0.0
90780;1;20251204;Presente;0.0
90781;2;20251204;Presente;0.0
90782;3;20251204;Presente;0.0
90783;4;20251204;Presente;0.0
90784;5;20251204;Presente;0.0
90785;1;20251205;Presente;0.0
90786;2;20251205;Presente;0.0
90787;3;20251205;Presente;0.0
90788;4;20251205;Atraso;2.3
90789;5;20251205;Falta Justificada;0.0
90790;1;20251206;Presente;0.0
90791;2;20251206;Presente;0.0
90792;3;20251206;Presente;0.0
90793;4;20251206;Atraso;2.8
90794;5;20251206;Presente;0.0
90795;1;20251207;Falta Justificada;0.0
90796;2;20251207;Presente;0.0
90797;3;20251207;Presente;0.0
90798;4;20251207;Presente;0.0
90799;5;20251207;Presente;0.0
90800;1;20251208;Presente;0.0
90801;2;20251208;Presente;0.0
90802;3;20251208;Presente;0.0
90803;4;20251208;Presente;0.0
90804;5;20251208;Falta Justificada;0.0
90805;1;20251209;Presente;0.0
90806;2;20251209;Presente;0.0
90807;3;20251209;Atraso;0.9
90808;4;20251209;Presente;0.0
90809;5;20251209;Presente;0.0
90810;1;20251210;Presente;0.0
90811;2;20251210;Presente;0.0
90812;3;20251210;Presente;0.0
90813;4;20251210;Presente;0.0
90814;5;20251210;Atraso;1.1
90815;1;20251211;Presente;0.0
90816;2;20251211;Atraso;3.0
90817;3;20251211;Presente;0.0
90818;4;20251211;Atraso;3.3
90819;5;20251211;Presente;0.0
90820;1;20251212;Falta Justificada;0.0
90821;2;20251212;Falta Justificada;0.0
90822;3;20251212;Presente;0.0
90823;4;20251212;Presente;0.0
90824;5;20251212;Atraso;1.7
90825;1;20251213;Presente;0.0
90826;2;20251213;Presente;0.0
90827;3;20251213;Falta Justificada;0.0
90828;4;20251213;Presente;0.0
90829;5;20251213;Presente;0.0
90830;1;20251214;Atraso;2.3
90831;2;20251214;Presente;0.0
90832;3;20251214;Presente;0.0
90833;4;20251214;Falta Justificada;0.0
90834;5;20251214;Presente;0.0
90835;1;20251215;Presente;0.0
90836;2;20251215;Presente;0.0
90837;3;20251215;Presente;0.0
90838;4;20251215;Atraso;2.6
90839;5;20251215;Presente;0.0
90840;1;20251216;Falta Justificada;0.0
90841;2;20251216;Presente;0.0
90842;3;20251216;Atraso;1.7
90843;4;20251216;Presente;0.0
90844;5;20251216;Falta Justificada;0.0
90845;1;20251217;Presente;0.0
90846;2;20251217;Presente;0.0
90847;3;20251217;Presente;0.0
90848;4;20251217;Atraso;2.7
90849;5;20251217;Presente;0.0
90850;1;20251218;Presente;0.0
90851;2;20251218;Presente;0.0
90852;3;20251218;Presente;0.0
90853;4;20251218;Falta Justificada;0.0
90854;5;20251218;Atraso;3.2
90855;1;20251219;Presente;0.0
90856;2;20251219;Presente;0.0
90857;3;20251219;Presente;0.0
90858;4;20251219;Presente;0.0
90859;5;20251219;Atraso;1.6
90860;1;20251220;Atraso;2.1
90861;2;20251220;Presente;0.0
90862;3;20251220;Presente;0.0
90863;4;20251220;Falta Justificada;0.0
90864;5;20251220;Presente;0.0
90865;1;20251221;Falta Justificada;0.0
90866;2;20251221;Presente;0.0
90867;3;20251221;Atraso;1.1
90868;4;20251221;Falta Justificada;0.0
90869;5;20251221;Presente;0.0
90870;1;20251222;Atraso;1.4
90871;2;20251222;Presente;0.0
90872;3;20251222;Atraso;0.8
90873;4;20251222;Presente;0.0
90874;5;20251222;Presente;0.0
90875;1;20251223;Falta Justificada;0.0
90876;2;20251223;Falta Justificada;0.0
90877;3;20251223;Presente;0.0
90878;4;20251223;Atraso;3.3
90879;5;20251223;Falta Justificada;0.0
90880;1;20251224;Falta Justificada;0.0
90881;2;20251224;Presente;0.0
90882;3;20251224;Presente;0.0
90883;4;20251224;Presente;0.0
90884;5;20251224;Atraso;2.9
90885;1;20251225;Presente;0.0
90886;2;20251225;Falta Justificada;0.0
90887;3;20251225;Presente;0.0
90888;4;20251225;Atraso;2.7
90889;5;20251225;Presente;0.0
90890;1;20251226;Presente;0.0
90891;2;20251226;Presente;0.0
90892;3;20251226;Presente;0.0
90893;4;20251226;Presente;0.0
90894;5;20251226;Presente;0.0
90895;1;20251227;Falta Justificada;0.0
90896;2;20251227;Falta Justificada;0.0
90897;3;20251227;Presente;0.0
90898;4;20251227;Presente;0.0
90899;5;20251227;Presente;0.0
90900;1;20251228;Presente;0.0
90901;2;20251228;Atraso;2.1
90902;3;20251228;Presente;0.0
90903;4;20251228;Presente;0.0
90904;5;20251228;Presente;0.0
90905;1;20251229;Presente;0.0
90906;2;20251229;Presente;0.0
90907;3;20251229;Presente;0.0
90908;4;20251229;Atraso;2.2
90909;5;20251229;Atraso;1.1
90910;1;20251230;Falta Justificada;0.0
90911;2;20251230;Presente;0.0
90912;3;20251230;Presente;0.0
90913;4;20251230;Falta Justificada;0.0
90914;5;20251230;Presente;0.0
90915;1;20251231;Falta Justificada;0.0
90916;2;20251231;Presente;0.0
90917;3;20251231;Presente;0.0
90918;4;20251231;Presente;0.0
90919;5;20251231;Presente;0.0
