id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50183;1;1;20251201;;27;171;50;Realizado
50184;5;2;20251201;3;36;33;56;Cancelado
50185;4;2;20251202;2;18;152;30;Cancelado
50186;5;4;20251203;3;16;74;34;Cancelado
50187;3;5;20251205;;44;138;33;Realizado
50188;2;5;20251206;;33;99;41;Realizado
50189;4;4;20251207;2;15;51;40;Cancelado
50190;2;4;20251208;;33;147;53;Realizado
50191;3;2;20251208;;16;30;54;Cancelado
50192;5;2;20251209;1;23;57;55;Realizado
50193;3;1;20251210;;43;18;57;Cancelado
50194;1;3;20251212;;17;147;57;Realizado
50195;3;5;20251212;;29;56;44;Realizado
50196;2;2;20251213;;40;111;44;Realizado
50197;4;1;20251214;3;17;169;43;Realizado
50198;6;1;20251215;;19;177;46;Cancelado
50199;6;2;20251215;;29;123;40;Realizado
50200;2;5;20251217;;36;168;32;Realizado
50201;4;4;20251218;3;44;45;60;Realizado
50202;1;3;20251218;;20;108;41;Realizado
50203;3;3;20251219;;33;145;48;Cancelado
50204;2;3;20251219;;19;86;53;Realizado
50205;1;2;20251220;;44;28;35;Realizado
50206;6;1;20251220;;39;15;31;Cancelado
50207;6;4;20251221;;22;68;57;Realizado
50208;3;5;20251222;;39;73;44;Realizado
50209;1;3;20251222;;42;98;49;Cancelado
50210;3;1;20251222;;39;130;24;Realizado
50211;1;1;20251223;;15;59;47;Realizado
50212;1;4;20251224;;40;23;24;Cancelado
50213;5;5;20251225;3;14;108;42;Realizado
50214;5;2;20251225;2;19;71;16;Realizado
50215;2;4;20251226;;40;56;30;Cancelado
50216;3;4;20251226;;30;17;55;Realizado
50217;6;5;20251227;;26;106;20;Realizado
50218;6;2;20251227;;16;162;21;Realizado
50219;6;5;20251227;;31;40;33;Cancelado
50220;3;1;20251228;;35;49;39;Realizado
50221;1;4;20251229;;42;136;49;Realizado
50222;5;1;20251230;3;10;171;18;Realizado
50223;5;3;20251231;1;33;39;25;Realizado
