id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60110;1;20251207;42;1882;32;2
60111;2;20251207;67;2559;44;0
60112;3;20251207;101;1940;86;2
60113;4;20251207;146;3678;38;0
60114;5;20251207;61;2366;52;0
60115;1;20251214;93;1569;28;0
60116;2;20251214;68;2583;33;0
60117;3;20251214;113;1536;84;0
60118;4;20251214;66;2074;29;0
60119;5;20251214;34;1869;50;0
60120;1;20251221;50;1586;40;0
60121;2;20251221;139;1446;30;0
60122;3;20251221;90;3476;93;0
60123;4;20251221;59;1876;37;2
60124;5;20251221;77;1393;39;1
60125;1;20251228;147;3757;26;0
60126;2;20251228;81;2081;60;2
60127;3;20251228;126;2367;71;0
60128;4;20251228;139;3697;36;2
60129;5;20251228;73;2593;42;0
