id_registro;id_medico;id_tempo;id_protocolo;aderente_ao_protocolo;tempo_fechamento_prontuario_min
80287;3;20251201;3;True;42.7
80288;4;20251201;2;True;58.6
80289;3;20251201;1;True;50.9
80290;5;20251202;4;False;67.3
80291;3;20251202;1;True;42.8
80292;1;20251202;1;True;40.8
80293;2;20251203;2;False;82.9
80294;4;20251203;3;True;37.6
80295;3;20251204;1;True;42.8
80296;3;20251204;4;False;62.1
80297;2;20251205;3;True;50.1
80298;1;20251206;3;True;66.9
80299;4;20251206;1;True;82.5
80300;5;20251206;1;False;38.8
80301;4;20251207;2;True;36.4
80302;3;20251207;4;True;67.9
80303;1;20251208;4;True;66.2
80304;4;20251208;1;True;40.4
80305;1;20251208;2;True;29.2
80306;4;20251209;4;True;30.7
80307;1;20251210;3;True;60.0
80308;5;20251210;1;True;36.4
80309;5;20251210;3;True;60.7
80310;1;20251211;2;True;23.5
80311;3;20251212;2;True;64.5
80312;4;20251212;1;True;64.6
80313;4;20251212;4;True;26.5
80314;4;20251213;1;True;18.1
80315;3;20251214;1;True;73.3
80316;3;20251215;3;True;6.5
80317;1;20251215;1;True;36.7
80318;3;20251216;3;True;55.9
80319;4;20251216;1;True;34.0
80320;2;20251217;2;True;53.5
80321;2;20251217;4;True;69.3
80322;2;20251218;2;True;84.7
80323;5;20251218;3;True;25.8
80324;1;20251218;3;True;65.9
80325;3;20251219;2;True;17.5
80326;5;20251219;3;False;36.8
80327;5;20251220;3;True;68.2
80328;5;20251220;2;False;46.4
80329;3;20251220;3;True;78.7
80330;4;20251221;4;True;69.8
80331;3;20251221;2;True;57.5
80332;1;20251222;2;True;79.0
80333;1;20251222;2;True;59.6
80334;1;20251222;2;False;76.9
80335;1;20251223;1;True;50.9
80336;4;20251223;1;True;7.2
80337;3;20251223;4;True;22.9
80338;2;20251224;2;True;36.0
80339;1;20251224;1;True;81.3
80340;5;20251224;3;False;61.8
80341;1;20251225;2;True;38.7
80342;3;20251225;3;True;89.7
80343;1;20251225;3;True;79.2
80344;3;20251226;1;True;26.4
80345;3;20251226;1;True;86.9
80346;4;20251227;4;True;9.8
80347;5;20251227;4;True;13.8
80348;1;20251227;3;True;77.4
80349;5;20251228;3;False;50.8
80350;3;20251229;3;True;36.5
80351;2;20251230;4;True;61.3
80352;3;20251231;4;True;24.3
