id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50255;3;2;20260202;;29;155;49;Realizado
50256;1;3;20260202;;40;25;45;Realizado
50257;5;2;20260203;4;10;44;40;Realizado
50258;1;5;20260203;;10;68;60;Realizado
50259;6;3;20260203;;25;140;46;Realizado
50260;3;2;20260204;;16;84;57;Realizado
50261;2;2;20260205;;17;38;31;Realizado
50262;2;2;20260206;;36;42;42;Realizado
50263;5;4;20260208;1;25;120;24;Realizado
50264;5;1;20260208;2;18;31;18;Realizado
50265;3;2;20260209;;15;133;17;Cancelado
50266;2;3;20260211;;42;52;19;Realizado
50267;3;5;20260212;;32;28;42;Realizado
50268;2;2;20260213;;44;108;52;Cancelado
50269;4;5;20260213;4;45;29;41;Realizado
50270;2;5;20260214;;10;158;45;Cancelado
50271;6;2;20260217;;33;18;36;Cancelado
50272;5;5;20260218;4;12;127;20;Realizado
50273;4;4;20260218;2;37;144;46;Realizado
50274;5;3;20260219;3;35;71;27;Realizado
50275;6;3;20260220;;42;162;19;Realizado
50276;3;1;20260221;;45;124;41;Realizado
50277;3;5;20260221;;33;178;29;Realizado
50278;4;1;20260222;3;41;55;28;Cancelado
50279;5;4;20260222;1;30;51;54;Realizado
50280;6;4;20260222;;23;159;56;Realizado
50281;6;5;20260223;;30;50;52;Realizado
50282;3;2;20260224;;20;68;51;Realizado
50283;4;2;20260224;1;23;166;46;Realizado
50284;1;2;20260224;;12;129;23;Realizado
50285;4;3;20260225;1;10;69;60;Realizado
50286;1;4;20260225;;26;34;24;Realizado
50287;5;5;20260226;1;17;146;22;Realizado
50288;1;5;20260226;;16;102;60;Realizado
50289;3;4;20260227;;31;175;52;Realizado
50290;6;5;20260228;;17;121;39;Realizado
