id_registro;id_medico;id_tempo;id_protocolo;aderente_ao_protocolo;tempo_fechamento_prontuario_min
80410;4;20260201;1;True;76.7
80411;1;20260202;3;True;13.1
80412;1;20260202;4;True;31.5
80413;2;20260203;3;True;16.6
80414;5;20260203;1;True;16.3
80415;2;20260203;1;True;32.6
80416;2;20260204;1;True;59.8
80417;3;20260204;3;True;69.4
80418;4;20260205;2;True;86.4
80419;2;20260205;3;True;8.1
80420;2;20260206;2;True;16.3
80421;2;20260206;4;True;5.6
80422;2;20260207;1;False;45.7
80423;5;20260207;1;True;49.6
80424;1;20260207;4;False;11.8
80425;5;20260208;1;True;61.3
80426;2;20260208;4;True;52.0
80427;3;20260209;4;True;18.5
80428;3;20260209;1;True;39.3
80429;3;20260209;3;False;53.9
80430;1;20260210;1;False;87.9
80431;1;20260211;4;True;80.0
80432;2;20260211;2;True;50.0
80433;4;20260212;1;True;37.8
80434;4;20260213;1;False;74.9
80435;5;20260213;4;False;53.7
80436;5;20260213;3;False;57.6
80437;5;20260214;2;True;55.2
80438;3;20260214;1;True;76.7
80439;2;20260215;1;True;80.3
80440;5;20260215;1;True;6.9
80441;3;20260216;3;False;9.2
80442;5;20260217;4;True;69.4
80443;1;20260217;4;False;51.3
80444;1;20260217;4;False;17.2
80445;3;20260218;3;True;30.3
80446;5;20260218;2;True;84.4
80447;2;20260219;4;True;55.5
80448;3;20260220;1;False;32.2
80449;3;20260220;2;True;72.4
80450;2;20260221;4;True;28.1
80451;3;20260221;3;True;16.7
80452;2;20260221;3;False;82.4
80453;1;20260222;2;True;56.6
80454;1;20260222;4;True;71.9
80455;1;20260222;4;True;51.7
80456;4;20260223;3;True;85.1
80457;2;20260223;2;True;10.9
80458;1;20260224;1;True;6.5
80459;1;20260224;1;True;21.9
80460;2;20260224;1;True;39.9
80461;3;20260225;2;True;55.7
80462;2;20260225;4;True;17.1
80463;2;20260225;4;True;52.4
80464;3;20260226;3;True;76.7
80465;4;20260226;3;True;46.6
80466;2;20260227;1;False;5.5
80467;5;20260227;1;False;25.4
80468;5;20260228;3;False;74.8
