id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50000;1;3;20250701;;32;151;42;Realizado
50001;6;2;20250702;;45;99;37;Cancelado
50002;5;3;20250703;1;16;68;55;Realizado
50003;3;2;20250703;;22;123;22;Realizado
50004;2;2;20250704;;31;120;59;Cancelado
50005;4;2;20250705;2;39;156;24;Cancelado
50006;1;1;20250706;;25;176;58;Realizado
50007;6;4;20250706;;21;58;26;Realizado
50008;5;4;20250706;3;37;79;44;Realizado
50009;4;5;20250708;3;44;122;52;Realizado
50010;1;1;20250709;;18;18;37;Realizado
50011;5;3;20250710;2;19;138;29;Realizado
50012;1;2;20250711;;27;128;57;Cancelado
50013;1;4;20250711;;23;92;28;Realizado
50014;1;1;20250711;;39;34;35;Cancelado
50015;1;2;20250714;;31;52;23;Realizado
50016;1;4;20250715;;32;154;36;Realizado
50017;6;2;20250715;;22;88;37;Realizado
50018;5;3;20250716;4;12;47;19;Realizado
50019;2;5;20250716;;41;147;39;Realizado
50020;3;3;20250717;;20;56;35;Realizado
50021;5;5;20250718;4;25;55;35;Realizado
50022;6;5;20250718;;40;88;49;Realizado
50023;5;1;20250719;4;29;136;16;Realizado
50024;5;2;20250719;3;40;149;39;Realizado
50025;2;3;20250721;;10;81;39;Realizado
50026;2;4;20250722;;36;110;39;Cancelado
50027;6;5;20250722;;44;123;49;Cancelado
50028;4;5;20250723;1;32;179;57;Cancelado
50029;6;5;20250724;;17;137;30;Realizado
50030;5;5;20250725;1;43;23;19;Realizado
50031;1;5;20250727;;29;128;38;Realizado
50032;1;2;20250727;;45;77;51;Realizado
50033;1;3;20250727;;18;92;15;Cancelado
50034;5;2;20250728;4;44;144;59;Cancelado
50035;4;5;20250728;1;10;40;31;Realizado
50036;4;5;20250729;2;29;172;52;Realizado
50037;2;2;20250729;;21;95;43;Realizado
50038;4;1;20250731;3;13;26;21;Cancelado
