id_registro;id_medico;id_tempo;id_protocolo;aderente_ao_protocolo;tempo_fechamento_prontuario_min
80000;4;20250701;4;True;11.5
80001;1;20250701;4;True;59.0
80002;4;20250702;4;True;12.9
80003;5;20250703;3;True;45.7
80004;5;20250703;4;False;55.7
80005;1;20250703;2;True;39.7
80006;4;20250704;3;True;89.7
80007;1;20250705;4;True;24.1
80008;3;20250706;4;True;77.4
80009;1;20250706;4;True;64.0
80010;4;20250706;3;True;26.7
80011;3;20250707;2;True;82.3
80012;2;20250708;1;True;82.3
80013;2;20250709;2;True;70.8
80014;2;20250710;1;True;28.4
80015;2;20250710;4;True;75.3
80016;5;20250710;3;True;39.9
80017;3;20250711;2;True;31.5
80018;5;20250711;1;True;41.5
80019;4;20250711;2;True;37.3
80020;5;20250712;2;True;20.1
80021;4;20250712;3;True;55.3
80022;4;20250713;2;False;65.3
80023;3;20250713;4;True;24.3
80024;2;20250714;2;True;9.4
80025;2;20250714;4;True;84.1
80026;3;20250715;2;False;40.4
80027;4;20250715;3;True;68.5
80028;4;20250715;1;True;22.1
80029;3;20250716;4;True;59.4
80030;4;20250716;3;True;42.7
80031;4;20250716;2;True;16.5
80032;4;20250717;3;True;79.6
80033;5;20250717;3;True;58.1
80034;3;20250718;3;True;16.1
80035;3;20250718;4;True;12.7
80036;3;20250719;4;False;43.8
80037;1;20250719;4;True;87.2
80038;4;20250719;2;True;63.7
80039;5;20250720;2;True;9.3
80040;4;20250720;4;True;69.3
80041;2;20250721;2;False;77.8
80042;1;20250721;3;True;63.9
80043;2;20250721;4;False;36.8
80044;2;20250722;1;True;41.0
80045;3;20250722;1;True;89.4
80046;2;20250723;3;True;88.8
80047;1;20250724;2;False;66.6
80048;3;20250725;3;True;87.2
80049;5;20250726;3;True;27.7
80050;5;20250726;4;True;59.1
80051;5;20250727;3;True;65.6
80052;5;20250727;4;True;7.2
80053;2;20250727;1;True;41.9
80054;1;20250728;4;True;16.8
80055;1;20250728;1;True;60.9
80056;2;20250728;4;True;38.2
80057;4;20250729;4;True;67.7
80058;2;20250729;4;True;27.3
80059;3;20250729;2;False;38.0
80060;2;20250730;3;True;43.2
80061;1;20250730;3;False;28.9
80062;3;20250731;1;False;38.8
80063;2;20250731;2;True;18.5
