id_movimentacao;id_medicamento;id_tempo;id_unidade;quantidade_saida;saldo_atual
30000;1;20250701;1;19;981
30001;1;20250701;2;17;983
30002;1;20250701;3;16;984
30003;1;20250701;4;15;985
30004;1;20250701;5;25;975
30005;2;20250701;1;20;980
30006;2;20250701;2;10;990
30007;2;20250701;3;12;988
30008;2;20250701;4;9;991
30009;2;20250701;5;4;996
30010;3;20250701;1;10;990
30011;3;20250701;2;16;984
30012;3;20250701;3;9;991
30013;3;20250701;4;16;984
30014;3;20250701;5;20;980
30015;4;20250701;1;21;979
30016;4;20250701;2;23;977
30017;4;20250701;3;14;986
30018;4;20250701;4;12;988
30019;4;20250701;5;2;998
30020;5;20250701;1;17;983
30021;5;20250701;2;12;988
30022;5;20250701;3;7;993
30023;5;20250701;4;17;983
30024;5;20250701;5;8;992
30025;6;20250701;1;13;987
30026;6;20250701;2;10;990
30027;6;20250701;3;12;988
30028;6;20250701;4;10;990
30029;6;20250701;5;21;979
30030;1;20250702;1;10;971
30031;1;20250702;2;11;972
30032;1;20250702;3;10;974
30033;1;20250702;4;9;976
30034;1;20250702;5;5;970
30035;2;20250702;1;25;955
30036;2;20250702;2;8;982
30037;2;20250702;3;12;976
30038;2;20250702;4;5;986
30039;2;20250702;5;25;971
30040;3;20250702;1;19;971
30041;3;20250702;2;24;960
30042;3;20250702;3;7;984
30043;3;20250702;4;8;976
30044;3;20250702;5;8;972
30045;4;20250702;1;25;954
30046;4;20250702;2;17;960
30047;4;20250702;3;10;976
30048;4;20250702;4;25;963
30049;4;20250702;5;20;978
30050;5;20250702;1;18;965
30051;5;20250702;2;21;967
30052;5;20250702;3;11;982
30053;5;20250702;4;5;978
30054;5;20250702;5;8;984
30055;6;20250702;1;11;976
30056;6;20250702;2;9;981
30057;6;20250702;3;13;975
30058;6;20250702;4;7;983
30059;6;20250702;5;11;968
30060;1;20250703;1;22;949
30061;1;20250703;2;6;966
30062;1;20250703;3;10;964
30063;1;20250703;4;6;970
30064;1;20250703;5;4;966
30065;2;20250703;1;3;952
30066;2;20250703;2;7;975
30067;2;20250703;3;11;965
30068;2;20250703;4;21;965
30069;2;20250703;5;25;946
30070;3;20250703;1;20;951
30071;3;20250703;2;11;949
30072;3;20250703;3;16;968
30073;3;20250703;4;5;971
30074;3;20250703;5;16;956
30075;4;20250703;1;24;930
30076;4;20250703;2;11;949
30077;4;20250703;3;24;952
30078;4;20250703;4;14;949
30079;4;20250703;5;10;968
30080;5;20250703;1;18;947
30081;5;20250703;2;19;948
30082;5;20250703;3;17;965
30083;5;20250703;4;16;962
30084;5;20250703;5;4;980
30085;6;20250703;1;21;955
30086;6;20250703;2;3;978
30087;6;20250703;3;15;960
30088;6;20250703;4;25;958
30089;6;20250703;5;12;956
30090;1;20250704;1;11;938
30091;1;20250704;2;23;943
30092;1;20250704;3;14;950
30093;1;20250704;4;19;951
30094;1;20250704;5;3;963
30095;2;20250704;1;16;936
30096;2;20250704;2;4;971
30097;2;20250704;3;12;953
30098;2;20250704;4;10;955
30099;2;20250704;5;12;934
30100;3;20250704;1;5;946
30101;3;20250704;2;14;935
30102;3;20250704;3;18;950
30103;3;20250704;4;2;969
30104;3;20250704;5;23;933
30105;4;20250704;1;19;911
30106;4;20250704;2;16;933
30107;4;20250704;3;15;937
30108;4;20250704;4;3;946
30109;4;20250704;5;8;960
30110;5;20250704;1;18;929
30111;5;20250704;2;13;935
30112;5;20250704;3;21;944
30113;5;20250704;4;17;945
30114;5;20250704;5;22;958
30115;6;20250704;1;16;939
30116;6;20250704;2;3;975
30117;6;20250704;3;8;952
30118;6;20250704;4;10;948
30119;6;20250704;5;19;937
30120;1;20250705;1;8;930
30121;1;20250705;2;21;922
30122;1;20250705;3;18;932
30123;1;20250705;4;25;926
30124;1;20250705;5;6;957
30125;2;20250705;1;4;932
30126;2;20250705;2;10;961
30127;2;20250705;3;15;938
30128;2;20250705;4;12;943
30129;2;20250705;5;18;916
30130;3;20250705;1;10;936
30131;3;20250705;2;2;933
30132;3;20250705;3;11;939
30133;3;20250705;4;25;944
30134;3;20250705;5;11;922
30135;4;20250705;1;20;891
30136;4;20250705;2;20;913
30137;4;20250705;3;23;914
30138;4;20250705;4;17;929
30139;4;20250705;5;6;954
30140;5;20250705;1;16;913
30141;5;20250705;2;19;916
30142;5;20250705;3;17;927
30143;5;20250705;4;13;932
30144;5;20250705;5;12;946
30145;6;20250705;1;19;920
30146;6;20250705;2;19;956
30147;6;20250705;3;14;938
30148;6;20250705;4;16;932
30149;6;20250705;5;12;925
30150;1;20250706;1;8;922
30151;1;20250706;2;14;908
30152;1;20250706;3;17;915
30153;1;20250706;4;5;921
30154;1;20250706;5;9;948
30155;2;20250706;1;14;918
30156;2;20250706;2;20;941
30157;2;20250706;3;13;925
30158;2;20250706;4;20;923
30159;2;20250706;5;11;905
30160;3;20250706;1;24;912
30161;3;20250706;2;11;922
30162;3;20250706;3;2;937
30163;3;20250706;4;23;921
30164;3;20250706;5;14;908
30165;4;20250706;1;10;881
30166;4;20250706;2;2;911
30167;4;20250706;3;20;894
30168;4;20250706;4;23;906
30169;4;20250706;5;25;929
30170;5;20250706;1;3;910
30171;5;20250706;2;21;895
30172;5;20250706;3;25;902
30173;5;20250706;4;17;915
30174;5;20250706;5;11;935
30175;6;20250706;1;9;911
30176;6;20250706;2;21;935
30177;6;20250706;3;13;925
30178;6;20250706;4;9;923
30179;6;20250706;5;22;903
30180;1;20250707;1;7;915
30181;1;20250707;2;10;898
30182;1;20250707;3;17;898
30183;1;20250707;4;11;910
30184;1;20250707;5;25;923
30185;2;20250707;1;12;906
30186;2;20250707;2;5;936
30187;2;20250707;3;16;909
30188;2;20250707;4;4;919
30189;2;20250707;5;6;899
30190;3;20250707;1;9;903
