id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60000;1;20250706;70;3850;22;2
60001;2;20250706;79;3518;44;0
60002;3;20250706;46;2857;62;0
60003;4;20250706;141;2603;26;0
60004;5;20250706;146;2671;53;0
60005;1;20250713;77;1958;43;0
60006;2;20250713;129;2185;46;0
60007;3;20250713;72;1069;101;0
60008;4;20250713;101;3578;26;0
60009;5;20250713;62;3764;38;0
60010;1;20250720;116;3024;56;0
60011;2;20250720;134;2213;45;0
60012;3;20250720;66;3725;62;0
60013;4;20250720;148;2611;42;1
60014;5;20250720;57;1627;50;0
60015;1;20250727;94;3853;25;0
60016;2;20250727;42;2590;23;0
60017;3;20250727;107;3949;81;0
60018;4;20250727;33;3397;40;1
60019;5;20250727;92;1734;48;0
