id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50291;1;4;20260301;;44;59;18;Realizado
50292;5;4;20260301;3;20;168;57;Cancelado
50293;3;3;20260302;;37;21;32;Cancelado
50294;5;4;20260302;2;27;151;40;Realizado
50295;3;1;20260303;;44;161;49;Realizado
50296;4;1;20260304;1;32;44;19;Cancelado
50297;4;2;20260304;4;10;27;16;Realizado
50298;4;5;20260304;3;20;18;34;Realizado
50299;3;1;20260305;;14;114;16;Realizado
50300;4;1;20260305;2;22;35;26;Realizado
50301;6;4;20260305;;34;151;18;Cancelado
50302;6;2;20260307;;33;81;31;Cancelado
50303;4;5;20260308;4;34;44;17;Realizado
50304;2;4;20260308;;15;165;47;Realizado
50305;5;4;20260309;3;40;25;48;Realizado
50306;5;4;20260309;1;40;150;58;Cancelado
50307;2;2;20260310;;14;39;49;Realizado
50308;2;5;20260310;;16;156;37;Realizado
50309;5;5;20260313;2;10;167;17;Realizado
50310;6;2;20260314;;23;92;15;Realizado
50311;2;3;20260315;;13;175;26;Realizado
50312;2;3;20260315;;18;172;15;Realizado
50313;4;5;20260316;4;20;39;39;Realizado
50314;2;2;20260317;;16;77;38;Realizado
50315;2;4;20260318;;15;66;22;Cancelado
50316;1;3;20260318;;29;163;33;Realizado
50317;4;4;20260318;1;15;90;24;Realizado
50318;2;3;20260319;;26;66;17;Realizado
50319;6;3;20260320;;17;83;26;Cancelado
50320;6;3;20260321;;41;27;22;Cancelado
50321;5;4;20260322;3;32;54;48;Cancelado
50322;2;5;20260322;;38;73;59;Realizado
50323;6;3;20260323;;42;19;55;Realizado
50324;6;4;20260324;;14;71;39;Realizado
50325;6;5;20260324;;14;109;20;Cancelado
50326;2;5;20260324;;13;137;15;Realizado
50327;2;4;20260325;;23;176;58;Realizado
50328;2;4;20260326;;34;103;42;Realizado
50329;1;5;20260327;;29;171;22;Cancelado
50330;5;5;20260327;3;42;122;23;Cancelado
50331;1;2;20260328;;23;32;31;Realizado
50332;3;4;20260329;;13;56;25;Realizado
50333;2;2;20260329;;10;73;16;Realizado
50334;6;4;20260329;;13;59;32;Realizado
50335;3;3;20260330;;44;73;49;Cancelado
50336;5;2;20260330;2;25;139;30;Realizado
50337;3;5;20260331;;28;53;24;Realizado
