id_movimentacao;id_medicamento;id_tempo;id_unidade;quantidade_saida;saldo_atual
37290;1;20260301;1;19;767
37291;1;20260301;2;18;843
37292;1;20260301;3;6;707
37293;1;20260301;4;16;699
37294;1;20260301;5;25;787
37295;2;20260301;1;14;865
37296;2;20260301;2;20;665
37297;2;20260301;3;23;394
37298;2;20260301;4;17;596
37299;2;20260301;5;23;809
37300;3;20260301;1;22;783
37301;3;20260301;2;3;682
37302;3;20260301;3;10;711
37303;3;20260301;4;3;690
37304;3;20260301;5;20;695
37305;4;20260301;1;13;453
37306;4;20260301;2;9;678
37307;4;20260301;3;24;583
37308;4;20260301;4;5;565
37309;4;20260301;5;10;678
37310;5;20260301;1;4;829
37311;5;20260301;2;20;894
37312;5;20260301;3;15;598
37313;5;20260301;4;5;571
37314;5;20260301;5;13;816
37315;6;20260301;1;15;698
37316;6;20260301;2;3;612
37317;6;20260301;3;17;845
37318;6;20260301;4;19;842
37319;6;20260301;5;22;633
37320;1;20260302;1;25;742
37321;1;20260302;2;9;834
37322;1;20260302;3;13;694
37323;1;20260302;4;23;676
37324;1;20260302;5;21;766
37325;2;20260302;1;22;843
37326;2;20260302;2;7;658
37327;2;20260302;3;8;386
37328;2;20260302;4;24;572
37329;2;20260302;5;15;794
37330;3;20260302;1;5;778
37331;3;20260302;2;9;673
37332;3;20260302;3;8;703
37333;3;20260302;4;17;673
37334;3;20260302;5;25;670
37335;4;20260302;1;15;438
37336;4;20260302;2;2;676
37337;4;20260302;3;12;571
37338;4;20260302;4;7;558
37339;4;20260302;5;9;669
37340;5;20260302;1;3;826
37341;5;20260302;2;10;884
37342;5;20260302;3;12;586
37343;5;20260302;4;19;552
37344;5;20260302;5;18;798
37345;6;20260302;1;5;693
37346;6;20260302;2;14;598
37347;6;20260302;3;12;833
37348;6;20260302;4;24;818
37349;6;20260302;5;2;631
37350;1;20260303;1;19;723
37351;1;20260303;2;19;815
37352;1;20260303;3;25;669
37353;1;20260303;4;2;674
37354;1;20260303;5;14;752
37355;2;20260303;1;16;827
37356;2;20260303;2;19;639
37357;2;20260303;3;6;380
37358;2;20260303;4;5;567
37359;2;20260303;5;10;784
37360;3;20260303;1;4;774
37361;3;20260303;2;16;657
37362;3;20260303;3;10;693
37363;3;20260303;4;15;658
37364;3;20260303;5;18;652
37365;4;20260303;1;5;433
37366;4;20260303;2;9;667
37367;4;20260303;3;12;559
37368;4;20260303;4;21;537
37369;4;20260303;5;7;662
37370;5;20260303;1;14;812
37371;5;20260303;2;22;862
37372;5;20260303;3;14;572
37373;5;20260303;4;10;542
37374;5;20260303;5;19;779
37375;6;20260303;1;15;678
37376;6;20260303;2;21;577
37377;6;20260303;3;23;810
37378;6;20260303;4;19;799
