id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60170;1;20260301;143;2564;30;0
60171;2;20260301;57;2713;21;0
60172;3;20260301;134;3014;89;0
60173;4;20260301;41;2482;26;0
60174;5;20260301;114;3525;30;0
60175;1;20260308;143;3930;29;0
60176;2;20260308;70;2771;39;0
60177;3;20260308;65;2640;66;0
60178;4;20260308;78;1752;36;0
60179;5;20260308;140;3785;25;0
60180;1;20260315;35;3987;36;0
60181;2;20260315;94;1893;50;0
60182;3;20260315;54;3135;102;1
60183;4;20260315;104;3662;39;0
60184;5;20260315;32;811;34;0
60185;1;20260322;134;2599;29;0
60186;2;20260322;33;2305;24;0
60187;3;20260322;35;948;102;0
60188;4;20260322;91;3595;29;0
60189;5;20260322;38;2066;28;0
60190;1;20260329;32;2033;26;0
60191;2;20260329;121;3173;48;0
60192;3;20260329;118;3563;107;0
60193;4;20260329;136;914;54;0
60194;5;20260329;131;3467;55;0
