id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60065;1;20251005;100;3266;24;0
60066;2;20251005;81;1845;25;0
60067;3;20251005;140;2433;109;0
60068;4;20251005;139;1652;21;0
60069;5;20251005;129;2448;44;1
60070;1;20251012;114;2978;27;0
60071;2;20251012;65;1642;21;0
60072;3;20251012;40;2985;88;0
60073;4;20251012;105;984;45;2
60074;5;20251012;73;2590;21;0
60075;1;20251019;87;1760;32;0
60076;2;20251019;69;2540;33;0
60077;3;20251019;149;2332;70;1
60078;4;20251019;40;1350;55;0
60079;5;20251019;86;2925;38;0
60080;1;20251026;105;3048;31;0
60081;2;20251026;94;1120;35;0
60082;3;20251026;51;3755;79;0
60083;4;20251026;84;1522;35;0
60084;5;20251026;66;3161;39;2
