id_registro;id_medico;id_tempo;id_protocolo;aderente_ao_protocolo;tempo_fechamento_prontuario_min
80176;1;20251001;1;True;63.7
80177;2;20251002;4;True;5.3
80178;2;20251002;3;True;63.4
80179;2;20251002;1;True;21.9
80180;5;20251003;3;True;13.1
80181;2;20251003;1;True;65.4
80182;5;20251004;3;False;80.7
80183;3;20251005;2;True;61.6
80184;2;20251005;4;False;58.5
80185;5;20251005;4;True;13.0
80186;4;20251006;3;True;15.6
80187;4;20251006;2;True;40.9
80188;4;20251006;1;True;5.7
80189;5;20251007;4;True;80.1
80190;2;20251007;2;True;18.3
80191;1;20251008;2;True;18.3
80192;1;20251009;2;False;9.9
80193;5;20251009;2;True;42.9
80194;1;20251010;4;True;88.6
80195;2;20251010;3;True;13.3
80196;3;20251011;3;True;30.0
80197;4;20251011;4;False;31.3
80198;1;20251012;2;True;17.2
80199;1;20251012;1;True;25.4
80200;2;20251013;3;True;18.7
80201;4;20251014;1;True;87.6
80202;3;20251014;2;True;88.3
80203;1;20251015;3;True;76.8
80204;1;20251015;2;True;86.4
80205;1;20251015;3;False;72.5
80206;1;20251016;1;False;65.6
80207;3;20251016;3;False;80.2
80208;4;20251017;3;True;22.5
80209;3;20251018;4;True;83.3
80210;4;20251019;4;True;39.8
80211;5;20251020;4;True;34.0
80212;4;20251020;3;True;24.2
80213;4;20251021;4;True;89.1
80214;5;20251022;4;True;37.7
80215;1;20251022;3;True;43.3
80216;5;20251023;2;True;64.2
80217;1;20251024;4;True;44.0
80218;1;20251025;2;True;47.4
80219;4;20251026;4;True;47.9
80220;5;20251026;4;True;33.3
80221;1;20251026;4;False;18.8
80222;4;20251027;3;True;69.0
80223;4;20251027;2;True;36.8
80224;3;20251028;3;True;85.0
80225;2;20251028;1;True;6.4
80226;4;20251029;1;True;83.4
80227;3;20251030;2;True;62.8
80228;4;20251030;3;True;10.0
80229;5;20251031;1;True;37.0
