id_registro;id_medico;id_tempo;id_protocolo;aderente_ao_protocolo;tempo_fechamento_prontuario_min
80230;4;20251101;3;False;15.6
80231;1;20251101;2;True;20.4
80232;3;20251101;1;False;81.9
80233;1;20251102;1;False;39.6
80234;5;20251102;3;False;28.0
80235;1;20251103;3;True;70.5
80236;2;20251103;1;True;64.7
80237;4;20251103;2;True;87.4
80238;4;20251104;2;False;74.0
80239;4;20251105;2;False;18.0
80240;2;20251105;2;True;6.5
80241;3;20251106;2;False;37.6
80242;1;20251106;2;True;40.5
80243;5;20251107;3;True;77.5
80244;2;20251107;1;True;60.1
80245;5;20251107;1;True;85.4
80246;1;20251108;1;True;69.9
80247;3;20251109;3;True;79.4
80248;2;20251110;4;True;54.4
80249;2;20251110;4;True;22.9
80250;1;20251111;4;True;62.8
80251;3;20251112;2;False;22.1
80252;4;20251112;3;True;64.7
80253;4;20251112;1;True;86.0
80254;4;20251113;2;True;87.6
80255;3;20251114;3;False;46.3
80256;2;20251114;1;True;10.9
80257;2;20251114;4;True;82.6
80258;3;20251115;1;True;60.2
80259;1;20251116;2;True;76.5
80260;5;20251116;2;True;24.6
80261;5;20251117;1;True;17.1
80262;4;20251118;2;True;34.6
80263;3;20251119;3;True;71.3
80264;5;20251120;1;True;29.2
80265;3;20251120;4;True;77.1
80266;4;20251121;4;True;32.4
80267;1;20251121;2;True;74.6
80268;5;20251122;1;True;41.7
80269;3;20251122;4;False;41.9
80270;3;20251123;2;False;47.8
80271;5;20251123;1;True;88.2
80272;2;20251124;3;True;29.5
80273;5;20251124;2;True;65.6
80274;4;20251125;3;True;44.7
80275;5;20251126;4;True;24.0
80276;1;20251126;1;True;22.4
80277;5;20251126;1;True;17.4
80278;2;20251127;2;True;60.8
80279;5;20251127;3;False;57.5
80280;1;20251127;4;True;56.6
80281;3;20251128;1;True;47.4
80282;5;20251128;1;False;45.0
80283;1;20251129;4;True;37.9
80284;4;20251130;4;True;11.7
80285;1;20251130;1;True;76.1
80286;1;20251130;3;True;51.0
