id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50149;1;5;20251101;;15;46;47;Realizado
50150;2;5;20251102;;34;41;22;Realizado
50151;1;5;20251103;;37;145;23;Cancelado
50152;4;1;20251103;2;43;72;26;Realizado
50153;3;3;20251103;;23;15;55;Cancelado
50154;1;4;20251104;;18;116;41;Realizado
50155;4;3;20251105;1;42;171;26;Realizado
50156;4;2;20251105;1;29;43;32;Realizado
50157;1;5;20251106;;14;154;54;Realizado
50158;6;2;20251106;;17;126;19;Cancelado
50159;5;1;20251107;3;30;29;55;Realizado
50160;6;2;20251107;;35;54;43;Realizado
50161;6;5;20251108;;31;36;27;Realizado
50162;1;5;20251110;;33;157;45;Realizado
50163;1;5;20251111;;43;111;23;Realizado
50164;6;3;20251112;;43;102;43;Realizado
50165;5;4;20251113;3;33;36;58;Cancelado
50166;5;2;20251114;4;13;107;42;Cancelado
50167;1;4;20251114;;15;124;36;Realizado
50168;4;3;20251115;3;21;156;53;Realizado
50169;4;1;20251116;2;35;28;51;Cancelado
50170;3;2;20251116;;23;38;20;Realizado
50171;4;1;20251117;1;23;122;39;Realizado
50172;2;1;20251118;;27;115;21;Realizado
50173;4;3;20251120;3;27;96;37;Cancelado
50174;5;2;20251122;1;27;72;54;Cancelado
50175;3;1;20251123;;39;18;37;Realizado
50176;3;5;20251126;;16;165;46;Realizado
50177;6;5;20251127;;40;111;45;Realizado
50178;6;3;20251127;;25;41;26;Cancelado
50179;4;5;20251127;4;28;72;27;Realizado
50180;2;1;20251128;;28;34;49;Realizado
50181;1;4;20251130;;34;113;43;Realizado
50182;1;2;20251130;;31;174;42;Cancelado
