id_movimentacao;id_medicamento;id_tempo;id_unidade;quantidade_saida;saldo_atual
33690;1;20251101;1;21;345
33691;1;20251101;2;19;439
33692;1;20251101;3;18;223
33693;1;20251101;4;8;352
33694;1;20251101;5;24;305
33695;2;20251101;1;5;413
33696;2;20251101;2;23;344
33697;2;20251101;3;3;100
33698;2;20251101;4;9;322
33699;2;20251101;5;3;396
33700;3;20251101;1;8;321
33701;3;20251101;2;6;246
33702;3;20251101;3;11;315
33703;3;20251101;4;8;288
33704;3;20251101;5;6;297
33705;4;20251101;1;21;177
33706;4;20251101;2;19;344
33707;4;20251101;3;8;270
33708;4;20251101;4;20;227
33709;4;20251101;5;13;277
33710;5;20251101;1;10;397
33711;5;20251101;2;6;334
33712;5;20251101;3;25;318
33713;5;20251101;4;21;309
33714;5;20251101;5;15;405
33715;6;20251101;1;4;292
33716;6;20251101;2;19;281
33717;6;20251101;3;10;381
33718;6;20251101;4;10;442
33719;6;20251101;5;14;346
33720;1;20251102;1;19;326
33721;1;20251102;2;19;420
33722;1;20251102;3;21;202
33723;1;20251102;4;14;338
33724;1;20251102;5;17;288
33725;2;20251102;1;20;393
33726;2;20251102;2;6;338
33727;2;20251102;3;10;1090
33728;2;20251102;4;2;320
33729;2;20251102;5;23;373
33730;3;20251102;1;18;303
33731;3;20251102;2;24;222
33732;3;20251102;3;6;309
33733;3;20251102;4;23;265
33734;3;20251102;5;6;291
33735;4;20251102;1;6;171
33736;4;20251102;2;14;330
33737;4;20251102;3;20;250
33738;4;20251102;4;25;202
33739;4;20251102;5;10;267
33740;5;20251102;1;3;394
33741;5;20251102;2;25;309
33742;5;20251102;3;22;296
33743;5;20251102;4;13;296
33744;5;20251102;5;24;381
33745;6;20251102;1;9;283
33746;6;20251102;2;23;258
33747;6;20251102;3;21;360
33748;6;20251102;4;15;427
33749;6;20251102;5;24;322
33750;1;20251103;1;8;318
33751;1;20251103;2;11;409
33752;1;20251103;3;22;180
33753;1;20251103;4;18;320
33754;1;20251103;5;3;285
33755;2;20251103;1;16;377
33756;2;20251103;2;21;317
33757;2;20251103;3;17;1073
33758;2;20251103;4;3;317
33759;2;20251103;5;13;360
33760;3;20251103;1;2;301
33761;3;20251103;2;21;201
33762;3;20251103;3;16;293
33763;3;20251103;4;12;253
33764;3;20251103;5;11;280
33765;4;20251103;1;13;158
33766;4;20251103;2;5;325
33767;4;20251103;3;2;248
33768;4;20251103;4;13;189
33769;4;20251103;5;25;242
33770;5;20251103;1;7;387
33771;5;20251103;2;14;295
33772;5;20251103;3;13;283
33773;5;20251103;4;2;294
33774;5;20251103;5;5;376
33775;6;20251103;1;15;268
33776;6;20251103;2;17;241
33777;6;20251103;3;8;352
33778;6;20251103;4;4;423
33779;6;20251103;5;18;304
33780;1;20251104;1;3;315
33781;1;20251104;2;7;402
33782;1;20251104;3;23;157
33783;1;20251104;4;8;312
33784;1;20251104;5;17;268
33785;2;20251104;1;23;354
33786;2;20251104;2;10;307
33787;2;20251104;3;5;1068
33788;2;20251104;4;15;302
33789;2;20251104;5;17;343
33790;3;20251104;1;19;282
33791;3;20251104;2;17;184
33792;3;20251104;3;23;270
33793;3;20251104;4;24;229
33794;3;20251104;5;6;274
33795;4;20251104;1;12;146
33796;4;20251104;2;14;311
33797;4;20251104;3;18;230
33798;4;20251104;4;25;164
33799;4;20251104;5;25;217
33800;5;20251104;1;14;373
33801;5;20251104;2;6;289
33802;5;20251104;3;5;278
33803;5;20251104;4;5;289
33804;5;20251104;5;2;374
33805;6;20251104;1;6;262
33806;6;20251104;2;6;235
33807;6;20251104;3;13;339
33808;6;20251104;4;18;405
33809;6;20251104;5;2;302
33810;1;20251105;1;10;305
33811;1;20251105;2;13;389
33812;1;20251105;3;24;133
33813;1;20251105;4;15;297
33814;1;20251105;5;9;259
33815;2;20251105;1;12;342
33816;2;20251105;2;3;304
33817;2;20251105;3;7;1061
33818;2;20251105;4;3;299
33819;2;20251105;5;2;341
33820;3;20251105;1;3;279
33821;3;20251105;2;23;161
33822;3;20251105;3;25;245
33823;3;20251105;4;12;217
33824;3;20251105;5;8;266
33825;4;20251105;1;11;135
33826;4;20251105;2;17;294
33827;4;20251105;3;10;220
33828;4;20251105;4;21;143
33829;4;20251105;5;5;212
33830;5;20251105;1;15;358
33831;5;20251105;2;7;282
33832;5;20251105;3;10;268
33833;5;20251105;4;17;272
33834;5;20251105;5;13;361
33835;6;20251105;1;12;250
33836;6;20251105;2;11;224
33837;6;20251105;3;5;334
33838;6;20251105;4;5;400
33839;6;20251105;5;23;279
33840;1;20251106;1;15;290
33841;1;20251106;2;18;371
