id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60085;1;20251102;116;2542;36;0
60086;2;20251102;56;1089;54;1
60087;3;20251102;112;1589;104;0
60088;4;20251102;114;3453;56;0
60089;5;20251102;50;2519;58;0
60090;1;20251109;147;3603;34;0
60091;2;20251109;92;1494;27;0
60092;3;20251109;66;2263;66;0
60093;4;20251109;72;1284;59;0
60094;5;20251109;144;977;25;0
60095;1;20251116;129;2662;34;0
60096;2;20251116;44;1601;44;2
60097;3;20251116;131;2700;82;0
60098;4;20251116;30;2334;45;0
60099;5;20251116;66;1896;52;1
60100;1;20251123;145;2664;41;0
60101;2;20251123;115;2743;20;0
60102;3;20251123;52;1880;61;0
60103;4;20251123;116;3914;30;0
60104;5;20251123;75;2740;58;0
60105;1;20251130;114;1114;27;0
60106;2;20251130;150;3026;36;0
60107;3;20251130;124;2262;105;0
60108;4;20251130;121;2039;48;0
60109;5;20251130;67;3477;55;0
