id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60020;1;20250803;30;980;52;0
60021;2;20250803;35;2732;35;0
60022;3;20250803;52;944;69;0
60023;4;20250803;58;2118;46;0
60024;5;20250803;147;3750;46;0
60025;1;20250810;50;1859;42;0
60026;2;20250810;33;2383;38;0
60027;3;20250810;129;1677;96;0
60028;4;20250810;116;1646;34;1
60029;5;20250810;95;882;46;0
60030;1;20250817;35;1429;29;0
60031;2;20250817;36;3968;58;1
60032;3;20250817;103;3053;110;0
60033;4;20250817;130;3698;24;0
60034;5;20250817;58;1553;53;0
60035;1;20250824;50;2393;23;0
60036;2;20250824;135;1395;25;2
60037;3;20250824;41;1062;87;1
60038;4;20250824;77;1127;34;0
60039;5;20250824;149;2441;44;0
60040;1;20250831;70;3087;34;0
60041;2;20250831;123;1590;48;0
60042;3;20250831;122;1351;82;1
60043;4;20250831;92;3694;22;2
60044;5;20250831;67;3023;55;2
