id_transacao;id_tempo;id_unidade;id_convenio;receita_bruta;valor_glosa_inicial;valor_glosa_recuperada;custos_operacionais;data_pagamento_prevista;data_pagamento_real
100064;20250801;2;2;4153.56;0.0;0.0;2283.02;2025-09-18;2025-09-29
100065;20250801;2;3;10903.15;0.0;0.0;5866.93;2025-10-07;2025-10-13
100066;20250802;4;1;6906.52;0.0;0.0;3878.78;2025-09-06;2025-09-15
100067;20250802;2;1;5896.45;0.0;0.0;3232.03;2025-09-06;2025-09-07
100068;20250803;1;1;17890.79;2558.72;1128.79;10179.31;2025-09-12;2025-09-26
100069;20250803;2;1;10679.98;0.0;0.0;6065.32;2025-09-12;2025-09-19
100070;20250804;2;2;2541.47;0.0;0.0;1408.15;2025-09-20;2025-10-01
100071;20250804;2;1;2843.25;0.0;0.0;1394.44;2025-09-06;2025-09-10
100072;20250805;3;3;4887.09;618.72;315.31;2582.98;2025-10-07;2025-10-11
100073;20250805;4;1;8182.14;0.0;0.0;4738.71;2025-09-11;2025-09-09
100074;20250806;1;1;17537.81;0.0;0.0;8150.13;2025-09-15;2025-09-30
100075;20250807;1;2;7284.5;0.0;0.0;3260.54;2025-09-28;
100076;20250807;4;1;18594.96;2559.49;1304.9;8056.6;2025-09-18;2025-09-27
100077;20250807;3;3;2791.83;0.0;0.0;1305.43;2025-10-07;
100078;20250808;1;2;7039.51;0.0;0.0;4075.7;2025-09-26;2025-10-10
100079;20250808;2;3;10761.89;0.0;0.0;4794.45;2025-10-15;2025-10-24
100080;20250808;5;2;12374.55;0.0;0.0;7355.84;2025-10-04;2025-10-05
100081;20250809;4;3;13067.2;0.0;0.0;7523.98;2025-10-18;2025-10-16
100082;20250809;3;3;2293.11;0.0;0.0;1040.81;2025-10-09;2025-10-08
100083;20250810;5;2;18867.45;0.0;0.0;8370.39;2025-10-05;2025-10-18
100084;20250810;5;2;16546.54;0.0;0.0;7482.83;2025-10-05;2025-10-11
100085;20250811;2;2;15345.67;0.0;0.0;7279.01;2025-10-07;2025-10-18
100086;20250811;4;3;16285.61;0.0;0.0;6980.74;2025-10-19;2025-10-21
100087;20250811;2;2;12167.9;0.0;0.0;7216.36;2025-10-03;2025-10-01
100088;20250812;4;1;4042.65;0.0;0.0;2257.52;2025-09-15;2025-09-20
100089;20250812;1;2;14718.36;0.0;0.0;7933.76;2025-10-07;2025-10-13
100090;20250813;4;2;13462.36;0.0;0.0;6531.92;2025-10-08;2025-10-06
100091;20250814;1;3;13054.64;2380.42;1009.98;6124.58;2025-10-21;2025-10-30
100092;20250815;4;3;3259.2;0.0;0.0;1438.51;2025-10-16;2025-10-23
100093;20250815;1;3;22223.2;0.0;0.0;11209.32;2025-10-26;2025-10-24
100094;20250815;2;1;3803.25;0.0;0.0;1969.18;2025-09-16;2025-09-27
100095;20250816;2;3;22352.15;0.0;0.0;11366.03;2025-10-27;2025-10-27
100096;20250816;4;1;3917.06;0.0;0.0;1681.54;2025-09-17;2025-09-23
100097;20250816;3;3;5500.62;0.0;0.0;2214.51;2025-10-19;2025-10-30
100098;20250817;5;2;4182.39;0.0;0.0;2302.54;2025-10-04;2025-10-18
100099;20250818;2;3;2728.64;0.0;0.0;1328.98;2025-10-18;2025-10-17
100100;20250818;1;2;6865.13;1267.71;719.32;3626.74;2025-10-07;2025-10-22
100101;20250818;3;3;8527.37;0.0;0.0;3785.92;2025-10-26;2025-11-09
100102;20250819;4;3;2430.6;0.0;0.0;1145.85;2025-10-19;2025-10-23
100103;20250820;2;3;16227.02;1056.05;326.65;8136.81;2025-10-28;2025-11-12
100104;20250820;3;3;2583.23;0.0;0.0;1273.38;2025-10-20;2025-10-29
100105;20250821;2;1;12197.35;0.0;0.0;6995.72;2025-09-29;2025-10-11
100106;20250821;2;2;17422.81;0.0;0.0;8637.58;2025-10-16;2025-10-18
100107;20250822;5;3;14326.73;0.0;0.0;6933.55;2025-10-29;2025-10-29
100108;20250823;5;3;5085.97;0.0;0.0;2733.98;2025-10-27;2025-11-04
100109;20250824;4;3;4981.64;0.0;0.0;2605.59;2025-10-26;2025-11-03
100110;20250824;2;3;13055.06;0.0;0.0;7737.18;2025-10-30;2025-11-02
100111;20250825;3;1;11839.0;0.0;0.0;6853.16;2025-10-03;2025-10-06
100112;20250825;3;3;8081.97;0.0;0.0;3832.79;2025-10-28;2025-11-12
100113;20250826;3;3;6994.05;0.0;0.0;3805.9;2025-10-29;2025-11-12
100114;20250826;5;3;7831.67;647.43;263.98;3530.97;2025-11-02;2025-11-02
100115;20250827;2;2;5763.08;0.0;0.0;3387.27;2025-10-14;2025-10-27
100116;20250828;4;3;9085.73;0.0;0.0;4463.9;2025-11-02;2025-11-17
100117;20250829;4;3;20340.9;0.0;0.0;9294.48;2025-11-09;2025-11-14
100118;20250830;4;1;11095.54;0.0;0.0;6425.87;2025-10-07;2025-10-16
100119;20250830;1;1;6066.66;1440.74;807.48;2734.02;2025-10-03;2025-10-06
100120;20250831;3;2;10561.05;0.0;0.0;4999.84;2025-10-24;2025-11-06
