id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50039;1;2;20250801;;18;46;52;Cancelado
50040;3;2;20250802;;43;147;31;Realizado
50041;3;1;20250803;;29;174;30;Cancelado
50042;5;2;20250803;2;36;140;18;Realizado
50043;2;2;20250804;;29;169;17;Realizado
50044;2;2;20250804;;17;18;18;Realizado
50045;3;4;20250805;;24;55;21;Realizado
50046;1;1;20250806;;43;108;19;Realizado
50047;4;4;20250807;2;20;130;19;Realizado
50048;4;1;20250808;3;21;129;17;Realizado
50049;5;2;20250808;4;25;136;34;Realizado
50050;6;5;20250808;;37;66;55;Realizado
50051;4;3;20250809;4;43;110;18;Realizado
50052;1;5;20250810;;10;145;57;Realizado
50053;2;5;20250810;;13;168;40;Realizado
50054;6;2;20250811;;14;135;27;Realizado
50055;6;4;20250811;;21;95;55;Realizado
50056;5;1;20250812;3;18;122;21;Realizado
50057;4;4;20250813;3;15;110;36;Realizado
50058;2;4;20250815;;39;99;50;Cancelado
50059;6;1;20250815;;36;42;31;Realizado
50060;5;2;20250815;2;41;16;48;Realizado
50061;5;2;20250816;4;44;88;42;Realizado
50062;3;4;20250816;;38;41;54;Realizado
50063;4;2;20250818;3;12;37;19;Realizado
50064;2;3;20250820;;20;146;23;Cancelado
50065;2;2;20250821;;38;57;29;Realizado
50066;2;2;20250821;;12;47;51;Realizado
50067;5;5;20250823;3;26;152;42;Realizado
50068;2;4;20250824;;15;85;40;Realizado
50069;1;2;20250824;;26;59;41;Realizado
50070;6;3;20250825;;25;82;28;Realizado
50071;5;3;20250825;3;35;71;51;Realizado
50072;2;3;20250826;;19;136;15;Realizado
50073;3;5;20250826;;33;158;50;Realizado
50074;2;2;20250827;;11;47;30;Realizado
50075;6;4;20250830;;25;113;43;Realizado
50076;6;1;20250830;;23;43;30;Cancelado
50077;1;3;20250831;;33;173;30;Realizado
