id_registro;id_medico;id_tempo;id_protocolo;aderente_ao_protocolo;tempo_fechamento_prontuario_min
80064;1;20250801;1;False;60.3
80065;1;20250801;2;False;56.1
80066;1;20250802;2;True;12.1
80067;4;20250802;1;True;57.0
80068;1;20250803;2;True;73.4
80069;2;20250803;2;True;84.3
80070;1;20250804;2;True;44.6
80071;1;20250804;3;True;74.7
80072;1;20250805;2;True;47.4
80073;3;20250805;3;True;28.0
80074;3;20250806;2;True;34.0
80075;5;20250807;2;False;13.8
80076;2;20250807;1;True;26.8
80077;2;20250807;4;True;67.2
80078;3;20250808;1;True;76.7
80079;2;20250808;1;True;61.8
80080;5;20250808;2;True;85.7
80081;4;20250809;2;False;56.7
80082;4;20250809;1;True;16.4
80083;5;20250810;3;True;41.0
80084;1;20250810;4;True;33.6
80085;1;20250811;2;True;24.0
80086;2;20250811;2;True;34.1
80087;2;20250811;4;True;16.0
80088;2;20250812;2;True;55.1
80089;4;20250812;4;True;15.5
80090;1;20250813;1;True;79.3
80091;1;20250814;2;True;49.1
80092;1;20250815;1;False;86.9
80093;2;20250815;1;True;35.2
80094;2;20250815;3;True;69.4
80095;3;20250816;3;True;88.4
80096;1;20250816;2;True;68.8
80097;4;20250816;4;True;86.3
80098;3;20250817;2;True;61.4
80099;2;20250818;4;True;22.5
80100;3;20250818;4;True;43.3
80101;1;20250818;3;True;37.4
80102;3;20250819;1;True;13.3
80103;3;20250820;2;False;21.7
80104;4;20250820;2;True;38.4
80105;3;20250821;1;False;26.4
80106;3;20250821;1;True;40.2
80107;4;20250822;2;True;6.4
80108;1;20250823;1;False;49.4
80109;5;20250824;3;True;7.9
80110;1;20250824;1;False;29.2
80111;4;20250825;3;True;52.1
80112;1;20250825;1;True;57.2
80113;3;20250826;4;True;53.6
80114;4;20250826;3;True;52.8
80115;3;20250827;3;False;59.8
80116;5;20250828;4;True;87.4
80117;4;20250829;2;False;70.0
80118;2;20250830;1;True;70.9
80119;4;20250830;4;True;84.6
80120;5;20250831;2;True;50.1
