id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60195;1;20260405;75;3608;55;1
60196;2;20260405;65;1108;45;0
60197;3;20260405;132;2864;98;1
60198;4;20260405;82;2692;27;0
60199;5;20260405;137;2677;38;0
60200;1;20260412;122;2547;35;0
60201;2;20260412;37;3626;56;0
60202;3;20260412;132;1213;94;0
60203;4;20260412;35;1960;27;0
60204;5;20260412;142;1355;23;1
60205;1;20260419;57;2698;28;0
60206;2;20260419;146;839;23;0
60207;3;20260419;69;2668;77;1
60208;4;20260419;95;3868;21;0
60209;5;20260419;135;3492;48;0
60210;1;20260426;129;1294;51;0
60211;2;20260426;92;2187;32;0
60212;3;20260426;142;2517;88;0
60213;4;20260426;145;828;26;0
60214;5;20260426;100;861;38;0
