id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50338;3;5;20260401;;35;74;42;Realizado
50339;6;4;20260401;;16;72;56;Realizado
50340;2;4;20260402;;21;19;34;Realizado
50341;2;4;20260404;;39;170;43;Cancelado
50342;4;1;20260404;4;33;117;49;Cancelado
50343;1;5;20260405;;20;117;23;Cancelado
50344;2;3;20260405;;12;99;45;Realizado
50345;6;5;20260405;;32;114;58;Cancelado
50346;3;4;20260406;;37;158;40;Realizado
50347;2;1;20260407;;37;84;49;Realizado
50348;2;5;20260409;;17;128;59;Realizado
50349;2;3;20260410;;11;151;29;Realizado
50350;5;5;20260410;3;41;99;55;Realizado
50351;1;4;20260411;;25;171;46;Realizado
50352;3;1;20260411;;15;175;57;Realizado
50353;5;3;20260412;1;10;175;36;Realizado
50354;2;3;20260413;;42;41;31;Realizado
50355;6;1;20260416;;20;29;24;Realizado
50356;4;5;20260418;1;39;169;34;Realizado
50357;5;3;20260420;1;10;147;48;Realizado
50358;5;1;20260420;4;12;114;15;Realizado
50359;1;5;20260421;;42;53;23;Realizado
50360;3;1;20260421;;20;71;37;Cancelado
50361;4;4;20260423;3;19;47;30;Realizado
50362;2;1;20260425;;17;20;45;Realizado
50363;4;1;20260426;4;45;105;44;Realizado
50364;1;1;20260426;;36;91;24;Cancelado
50365;6;2;20260427;;31;74;34;Realizado
50366;3;4;20260428;;39;61;39;Realizado
50367;6;3;20260428;;34;67;24;Cancelado
50368;5;5;20260428;4;24;60;18;Realizado
50369;1;2;20260429;;21;59;56;Realizado
50370;5;4;20260429;4;45;74;17;Realizado
50371;5;1;20260430;3;38;125;30;Realizado
