id_escala;id_medico;id_tempo;status_presenca;horas_atraso
91370;1;20260401;Presente;0.0
91371;2;20260401;Presente;0.0
91372;3;20260401;Presente;0.0
91373;4;20260401;Presente;0.0
91374;5;20260401;Presente;0.0
91375;1;20260402;Presente;0.0
91376;2;20260402;Presente;0.0
91377;3;20260402;Presente;0.0
91378;4;20260402;Presente;0.0
91379;5;20260402;Atraso;0.8
91380;1;20260403;Falta Justificada;0.0
91381;2;20260403;Presente;0.0
91382;3;20260403;Atraso;2.6
91383;4;20260403;Presente;0.0
91384;5;20260403;Falta Justificada;0.0
91385;1;20260404;Presente;0.0
91386;2;20260404;Falta Justificada;0.0
91387;3;20260404;Atraso;2.7
91388;4;20260404;Presente;0.0
91389;5;20260404;Atraso;1.9
91390;1;20260405;Presente;0.0
91391;2;20260405;Falta Justificada;0.0
91392;3;20260405;Falta Justificada;0.0
91393;4;20260405;Presente;0.0
91394;5;20260405;Presente;0.0
91395;1;20260406;Presente;0.0
91396;2;20260406;Presente;0.0
91397;3;20260406;Presente;0.0
91398;4;20260406;Falta Justificada;0.0
91399;5;20260406;Presente;0.0
91400;1;20260407;Presente;0.0
91401;2;20260407;Presente;0.0
91402;3;20260407;Presente;0.0
91403;4;20260407;Presente;0.0
91404;5;20260407;Presente;0.0
91405;1;20260408;Presente;0.0
91406;2;20260408;Presente;0.0
91407;3;20260408;Presente;0.0
91408;4;20260408;Presente;0.0
91409;5;20260408;Atraso;3.1
91410;1;20260409;Presente;0.0
91411;2;20260409;Falta Justificada;0.0
91412;3;20260409;Atraso;3.3
91413;4;20260409;Presente;0.0
91414;5;20260409;Presente;0.0
91415;1;20260410;Atraso;2.9
91416;2;20260410;Atraso;3.3
91417;3;20260410;Presente;0.0
91418;4;20260410;Presente;0.0
91419;5;20260410;Presente;0.0
91420;1;20260411;Presente;0.0
91421;2;20260411;Presente;0.0
91422;3;20260411;Presente;0.0
91423;4;20260411;Atraso;2.1
91424;5;20260411;Presente;0.0
91425;1;20260412;Presente;0.0
91426;2;20260412;Falta Justificada;0.0
91427;3;20260412;Presente;0.0
91428;4;20260412;Presente;0.0
91429;5;20260412;Presente;0.0
91430;1;20260413;Presente;0.0
91431;2;20260413;Atraso;3.2
91432;3;20260413;Presente;0.0
91433;4;20260413;Presente;0.0
91434;5;20260413;Presente;0.0
91435;1;20260414;Presente;0.0
91436;2;20260414;Atraso;2.0
91437;3;20260414;Presente;0.0
91438;4;20260414;Presente;0.0
91439;5;20260414;Presente;0.0
91440;1;20260415;Presente;0.0
91441;2;20260415;Presente;0.0
91442;3;20260415;Falta Justificada;0.0
91443;4;20260415;Presente;0.0
91444;5;20260415;Atraso;0.5
91445;1;20260416;Atraso;1.9
91446;2;20260416;Atraso;1.4
91447;3;20260416;Falta Justificada;0.0
91448;4;20260416;Presente;0.0
91449;5;20260416;Presente;0.0
91450;1;20260417;Presente;0.0
91451;2;20260417;Presente;0.0
91452;3;20260417;Presente;0.0
91453;4;20260417;Presente;0.0
91454;5;20260417;Atraso;1.9
91455;1;20260418;Presente;0.0
91456;2;20260418;Presente;0.0
91457;3;20260418;Presente;0.0
91458;4;20260418;Presente;0.0
91459;5;20260418;Atraso;1.3
91460;1;20260419;Atraso;3.2
91461;2;20260419;Presente;0.0
91462;3;20260419;Presente;0.0
91463;4;20260419;Atraso;1.8
91464;5;20260419;Atraso;2.5
91465;1;20260420;Presente;0.0
91466;2;20260420;Falta Justificada;0.0
91467;3;20260420;Falta Justificada;0.0
91468;4;20260420;Presente;0.0
91469;5;20260420;Falta Justificada;0.0
91470;1;20260421;Presente;0.0
91471;2;20260421;Presente;0.0
91472;3;20260421;Presente;0.0
91473;4;20260421;Presente;0.0
91474;5;20260421;Presente;0.0
91475;1;20260422;Presente;0.0
91476;2;20260422;Presente;0.0
91477;3;20260422;Atraso;1.0
91478;4;20260422;Presente;0.0
91479;5;20260422;Presente;0.0
91480;1;20260423;Atraso;3.4
91481;2;20260423;Presente;0.0
91482;3;20260423;Presente;0.0
91483;4;20260423;Presente;0.0
91484;5;20260423;Atraso;1.0
91485;1;20260424;Presente;0.0
91486;2;20260424;Presente;0.0
91487;3;20260424;Falta Justificada;0.0
91488;4;20260424;Presente;0.0
91489;5;20260424;Presente;0.0
91490;1;20260425;Falta Justificada;0.0
91491;2;20260425;Presente;0.0
91492;3;20260425;Presente;0.0
91493;4;20260425;Presente;0.0
91494;5;20260425;Atraso;2.7
91495;1;20260426;Atraso;3.1
91496;2;20260426;Atraso;2.4
91497;3;20260426;Presente;0.0
91498;4;20260426;Presente;0.0
91499;5;20260426;Presente;0.0
91500;1;20260427;Presente;0.0
91501;2;20260427;Presente;0.0
91502;3;20260427;Presente;0.0
91503;4;20260427;Falta Justificada;0.0
91504;5;20260427;Presente;0.0
91505;1;20260428;Presente;0.0
91506;2;20260428;Presente;0.0
91507;3;20260428;Presente;0.0
91508;4;20260428;Presente;0.0
91509;5;20260428;Presente;0.0
91510;1;20260429;Presente;0.0
91511;2;20260429;Falta Justificada;0.0
91512;3;20260429;Presente;0.0
91513;4;20260429;Atraso;2.3
91514;5;20260429;Presente;0.0
91515;1;20260430;Presente;0.0
91516;2;20260430;Presente;0.0
91517;3;20260430;Presente;0.0
91518;4;20260430;Presente;0.0
91519;5;20260430;Presente;0.0
