id_movimentacao;id_medicamento;id_tempo;id_unidade;quantidade_saida;saldo_atual
35520;1;20260101;1;23;450
35521;1;20260101;2;19;571
35522;1;20260101;3;4;367
35523;1;20260101;4;12;501
35524;1;20260101;5;9;490
35525;2;20260101;1;13;639
35526;2;20260101;2;6;503
35527;2;20260101;3;9;207
35528;2;20260101;4;17;451
35529;2;20260101;5;8;648
35530;3;20260101;1;14;599
35531;3;20260101;2;3;426
35532;3;20260101;3;13;472
35533;3;20260101;4;3;378
35534;3;20260101;5;17;494
35535;4;20260101;1;23;333
35536;4;20260101;2;24;516
35537;4;20260101;3;20;410
35538;4;20260101;4;5;352
35539;4;20260101;5;18;515
35540;5;20260101;1;4;665
35541;5;20260101;2;23;566
35542;5;20260101;3;22;443
35543;5;20260101;4;12;439
35544;5;20260101;5;18;604
35545;6;20260101;1;20;483
35546;6;20260101;2;20;422
35547;6;20260101;3;24;633
35548;6;20260101;4;19;658
35549;6;20260101;5;18;442
35550;1;20260102;1;15;435
35551;1;20260102;2;25;546
35552;1;20260102;3;18;349
35553;1;20260102;4;18;483
35554;1;20260102;5;7;483
35555;2;20260102;1;18;621
35556;2;20260102;2;13;490
35557;2;20260102;3;23;184
35558;2;20260102;4;24;427
35559;2;20260102;5;3;645
35560;3;20260102;1;8;591
35561;3;20260102;2;5;421
35562;3;20260102;3;16;456
35563;3;20260102;4;7;371
35564;3;20260102;5;9;485
35565;4;20260102;1;24;309
35566;4;20260102;2;12;504
35567;4;20260102;3;4;406
35568;4;20260102;4;24;328
35569;4;20260102;5;8;507
35570;5;20260102;1;17;648
35571;5;20260102;2;8;558
35572;5;20260102;3;20;423
35573;5;20260102;4;22;417
35574;5;20260102;5;21;583
35575;6;20260102;1;2;481
35576;6;20260102;2;3;419
35577;6;20260102;3;14;619
35578;6;20260102;4;8;650
35579;6;20260102;5;24;418
35580;1;20260103;1;4;431
35581;1;20260103;2;19;527
35582;1;20260103;3;17;332
35583;1;20260103;4;8;475
35584;1;20260103;5;6;477
35585;2;20260103;1;18;603
35586;2;20260103;2;3;487
35587;2;20260103;3;17;167
35588;2;20260103;4;17;410
35589;2;20260103;5;5;640
35590;3;20260103;1;5;586
35591;3;20260103;2;9;412
35592;3;20260103;3;3;453
35593;3;20260103;4;14;357
35594;3;20260103;5;7;478
35595;4;20260103;1;4;305
35596;4;20260103;2;24;480
35597;4;20260103;3;4;402
35598;4;20260103;4;9;319
35599;4;20260103;5;15;492
35600;5;20260103;1;21;627
35601;5;20260103;2;13;545
35602;5;20260103;3;16;407
35603;5;20260103;4;25;392
35604;5;20260103;5;6;577
35605;6;20260103;1;16;465
35606;6;20260103;2;21;398
35607;6;20260103;3;3;616
35608;6;20260103;4;23;627
35609;6;20260103;5;18;400
35610;1;20260104;1;24;407
35611;1;20260104;2;19;508
35612;1;20260104;3;9;323
35613;1;20260104;4;14;461
35614;1;20260104;5;6;471
35615;2;20260104;1;22;581
35616;2;20260104;2;13;474
35617;2;20260104;3;8;159
35618;2;20260104;4;14;396
35619;2;20260104;5;15;625
35620;3;20260104;1;15;571
35621;3;20260104;2;16;396
35622;3;20260104;3;25;428
35623;3;20260104;4;16;341
35624;3;20260104;5;16;462
35625;4;20260104;1;14;291
35626;4;20260104;2;16;464
35627;4;20260104;3;13;389
35628;4;20260104;4;12;307
35629;4;20260104;5;12;480
35630;5;20260104;1;23;604
35631;5;20260104;2;14;531
35632;5;20260104;3;6;401
35633;5;20260104;4;25;367
35634;5;20260104;5;18;559
35635;6;20260104;1;8;457
35636;6;20260104;2;9;389
35637;6;20260104;3;8;608
35638;6;20260104;4;24;603
35639;6;20260104;5;8;392
35640;1;20260105;1;11;396
35641;1;20260105;2;11;497
35642;1;20260105;3;5;318
35643;1;20260105;4;19;442
35644;1;20260105;5;7;464
35645;2;20260105;1;6;575
35646;2;20260105;2;7;467
35647;2;20260105;3;15;144
35648;2;20260105;4;5;391
35649;2;20260105;5;19;606
35650;3;20260105;1;21;550
35651;3;20260105;2;15;381
35652;3;20260105;3;7;421
35653;3;20260105;4;19;322
35654;3;20260105;5;19;443
35655;4;20260105;1;22;269
35656;4;20260105;2;17;447
35657;4;20260105;3;24;365
35658;4;20260105;4;10;297
35659;4;20260105;5;24;456
35660;5;20260105;1;9;595
35661;5;20260105;2;5;526
35662;5;20260105;3;23;378
35663;5;20260105;4;6;361
35664;5;20260105;5;16;543
35665;6;20260105;1;5;452
35666;6;20260105;2;3;386
35667;6;20260105;3;6;602
35668;6;20260105;4;14;589
35669;6;20260105;5;17;375
35670;1;20260106;1;15;381
35671;1;20260106;2;12;485
35672;1;20260106;3;3;315
35673;1;20260106;4;10;432
35674;1;20260106;5;25;439
35675;2;20260106;1;23;552
35676;2;20260106;2;16;451
35677;2;20260106;3;23;121
35678;2;20260106;4;4;387
35679;2;20260106;5;12;594
35680;3;20260106;1;19;531
35681;3;20260106;2;3;378
35682;3;20260106;3;6;415
35683;3;20260106;4;21;301
35684;3;20260106;5;2;441
35685;4;20260106;1;25;244
35686;4;20260106;2;20;427
35687;4;20260106;3;2;363
35688;4;20260106;4;11;286
35689;4;20260106;5;14;442
35690;5;20260106;1;8;587
35691;5;20260106;2;17;509
35692;5;20260106;3;14;364
35693;5;20260106;4;14;347
35694;5;20260106;5;3;540
35695;6;20260106;1;24;428
35696;6;20260106;2;23;363
35697;6;20260106;3;10;592
35698;6;20260106;4;24;565
35699;6;20260106;5;14;361
35700;1;20260107;1;17;364
35701;1;20260107;2;11;474
35702;1;20260107;3;25;290
35703;1;20260107;4;23;409
35704;1;20260107;5;20;419
35705;2;20260107;1;3;549
35706;2;20260107;2;16;435
35707;2;20260107;3;7;114
35708;2;20260107;4;18;369
35709;2;20260107;5;2;592
35710;3;20260107;1;4;527
35711;3;20260107;2;7;371
35712;3;20260107;3;8;407
35713;3;20260107;4;10;291
35714;3;20260107;5;6;435
35715;4;20260107;1;19;225
35716;4;20260107;2;20;407
35717;4;20260107;3;8;355
35718;4;20260107;4;24;262
35719;4;20260107;5;5;437
35720;5;20260107;1;24;563
35721;5;20260107;2;4;505
35722;5;20260107;3;8;356
35723;5;20260107;4;7;340
35724;5;20260107;5;12;528
35725;6;20260107;1;9;419
35726;6;20260107;2;7;356
35727;6;20260107;3;14;578
35728;6;20260107;4;22;543
35729;6;20260107;5;20;341
35730;1;20260108;1;8;356
35731;1;20260108;2;9;465
35732;1;20260108;3;20;270
35733;1;20260108;4;7;402
35734;1;20260108;5;3;416
35735;2;20260108;1;24;525
35736;2;20260108;2;13;422
35737;2;20260108;3;15;1099
35738;2;20260108;4;16;353
35739;2;20260108;5;16;576
35740;3;20260108;1;12;515
35741;3;20260108;2;14;357
35742;3;20260108;3;16;391
35743;3;20260108;4;16;275
35744;3;20260108;5;16;419
35745;4;20260108;1;6;219
35746;4;20260108;2;6;401
35747;4;20260108;3;25;330
35748;4;20260108;4;14;248
35749;4;20260108;5;15;422
35750;5;20260108;1;2;561
35751;5;20260108;2;6;499
35752;5;20260108;3;12;344
35753;5;20260108;4;14;326
35754;5;20260108;5;22;506
35755;6;20260108;1;6;413
35756;6;20260108;2;14;342
35757;6;20260108;3;13;565
35758;6;20260108;4;2;541
35759;6;20260108;5;15;326
35760;1;20260109;1;12;344
35761;1;20260109;2;24;441
35762;1;20260109;3;17;253
35763;1;20260109;4;21;381
35764;1;20260109;5;11;405
35765;2;20260109;1;6;519
35766;2;20260109;2;9;413
35767;2;20260109;3;18;1081
35768;2;20260109;4;17;336
35769;2;20260109;5;8;568
35770;3;20260109;1;15;500
35771;3;20260109;2;17;340
35772;3;20260109;3;2;389
35773;3;20260109;4;11;264
35774;3;20260109;5;22;397
35775;4;20260109;1;7;212
35776;4;20260109;2;12;389
35777;4;20260109;3;22;308
35778;4;20260109;4;11;237
35779;4;20260109;5;23;399
35780;5;20260109;1;21;540
35781;5;20260109;2;15;484
35782;5;20260109;3;21;323
35783;5;20260109;4;5;321
35784;5;20260109;5;21;485
35785;6;20260109;1;6;407
35786;6;20260109;2;18;324
35787;6;20260109;3;11;554
35788;6;20260109;4;12;529
35789;6;20260109;5;25;301
35790;1;20260110;1;22;322
35791;1;20260110;2;20;421
35792;1;20260110;3;9;244
