id_registro;id_medico;id_tempo;id_protocolo;aderente_ao_protocolo;tempo_fechamento_prontuario_min
80353;1;20260101;4;True;56.3
80354;4;20260102;1;True;13.9
80355;5;20260102;2;True;67.8
80356;2;20260103;2;False;61.8
80357;2;20260103;1;True;14.8
80358;2;20260104;3;False;18.7
80359;5;20260104;1;True;69.8
80360;3;20260104;2;True;29.4
80361;1;20260105;4;True;81.9
80362;2;20260105;2;True;31.9
80363;3;20260105;2;True;86.4
80364;4;20260106;3;True;89.0
80365;1;20260106;4;True;36.0
80366;3;20260107;1;True;83.1
80367;5;20260107;2;True;78.4
80368;2;20260107;2;True;20.8
80369;3;20260108;3;True;10.5
80370;3;20260108;1;False;27.3
80371;1;20260109;4;True;18.5
80372;3;20260110;2;True;58.9
80373;3;20260111;2;True;41.0
80374;5;20260111;4;True;18.8
80375;1;20260111;3;True;53.1
80376;3;20260112;4;True;6.6
80377;2;20260113;2;False;67.5
80378;1;20260113;2;True;78.1
80379;1;20260113;3;True;30.8
80380;1;20260114;4;True;75.6
80381;4;20260114;2;True;29.4
80382;4;20260114;4;True;86.7
80383;4;20260115;1;True;59.4
80384;3;20260115;1;True;20.8
80385;5;20260115;1;True;88.0
80386;5;20260116;1;True;54.8
80387;2;20260116;2;True;78.6
80388;4;20260116;4;True;28.7
80389;2;20260117;3;True;78.1
80390;1;20260117;4;False;89.1
80391;3;20260117;4;True;56.5
80392;3;20260118;4;True;70.3
80393;3;20260118;2;True;46.2
80394;4;20260119;2;True;80.8
80395;1;20260120;4;True;42.6
80396;5;20260120;4;True;56.6
80397;2;20260121;1;False;64.1
80398;1;20260122;4;True;19.2
80399;4;20260123;4;True;30.5
80400;1;20260124;2;False;27.9
80401;3;20260125;3;True;86.2
80402;1;20260125;4;True;28.1
80403;4;20260126;2;True;41.6
80404;5;20260127;3;False;76.1
80405;1;20260128;3;True;63.5
80406;2;20260129;2;True;8.3
80407;5;20260130;2;True;27.5
80408;5;20260130;4;True;47.6
80409;3;20260131;2;True;70.0
