id_movimentacao;id_medicamento;id_tempo;id_unidade;quantidade_saida;saldo_atual
31860;1;20250901;1;22;147
31861;1;20250901;2;20;203
31862;1;20250901;3;13;1029
31863;1;20250901;4;23;186
31864;1;20250901;5;16;133
31865;2;20250901;1;24;217
31866;2;20250901;2;23;103
31867;2;20250901;3;15;1037
31868;2;20250901;4;5;189
31869;2;20250901;5;7;206
31870;3;20250901;1;7;196
31871;3;20250901;2;19;1092
31872;3;20250901;3;14;117
31873;3;20250901;4;18;1083
31874;3;20250901;5;12;1094
31875;4;20250901;1;23;1091
31876;4;20250901;2;7;148
31877;4;20250901;3;19;158
31878;4;20250901;4;21;133
31879;4;20250901;5;16;122
31880;5;20250901;1;13;116
31881;5;20250901;2;12;153
31882;5;20250901;3;19;1095
31883;5;20250901;4;12;144
31884;5;20250901;5;13;162
31885;6;20250901;1;15;1068
31886;6;20250901;2;22;142
31887;6;20250901;3;15;254
31888;6;20250901;4;25;214
31889;6;20250901;5;12;132
31890;1;20250902;1;24;123
31891;1;20250902;2;20;183
31892;1;20250902;3;5;1024
31893;1;20250902;4;21;165
31894;1;20250902;5;22;111
31895;2;20250902;1;11;206
31896;2;20250902;2;3;100
31897;2;20250902;3;25;1012
31898;2;20250902;4;20;169
31899;2;20250902;5;14;192
31900;3;20250902;1;4;192
31901;3;20250902;2;3;1089
31902;3;20250902;3;12;105
31903;3;20250902;4;13;1070
31904;3;20250902;5;15;1079
31905;4;20250902;1;15;1076
31906;4;20250902;2;5;143
31907;4;20250902;3;9;149
31908;4;20250902;4;25;108
31909;4;20250902;5;22;100
31910;5;20250902;1;21;1095
31911;5;20250902;2;2;151
31912;5;20250902;3;22;1073
31913;5;20250902;4;22;122
31914;5;20250902;5;14;148
31915;6;20250902;1;3;1065
31916;6;20250902;2;11;131
31917;6;20250902;3;18;236
31918;6;20250902;4;3;211
31919;6;20250902;5;12;120
31920;1;20250903;1;8;115
31921;1;20250903;2;19;164
31922;1;20250903;3;18;1006
31923;1;20250903;4;10;155
31924;1;20250903;5;19;1092
31925;2;20250903;1;17;189
31926;2;20250903;2;21;1079
31927;2;20250903;3;25;987
31928;2;20250903;4;6;163
31929;2;20250903;5;24;168
31930;3;20250903;1;24;168
31931;3;20250903;2;23;1066
31932;3;20250903;3;2;103
31933;3;20250903;4;14;1056
31934;3;20250903;5;20;1059
31935;4;20250903;1;23;1053
31936;4;20250903;2;18;125
31937;4;20250903;3;3;146
31938;4;20250903;4;10;1098
31939;4;20250903;5;7;1093
31940;5;20250903;1;3;1092
31941;5;20250903;2;11;140
31942;5;20250903;3;8;1065
31943;5;20250903;4;24;1098
31944;5;20250903;5;21;127
31945;6;20250903;1;10;1055
31946;6;20250903;2;3;128
31947;6;20250903;3;16;220
31948;6;20250903;4;22;189
31949;6;20250903;5;2;118
31950;1;20250904;1;15;100
31951;1;20250904;2;6;158
31952;1;20250904;3;22;984
31953;1;20250904;4;20;135
31954;1;20250904;5;7;1085
31955;2;20250904;1;12;177
31956;2;20250904;2;4;1075
31957;2;20250904;3;19;968
31958;2;20250904;4;19;144
31959;2;20250904;5;25;143
31960;3;20250904;1;5;163
31961;3;20250904;2;7;1059
31962;3;20250904;3;12;1091
31963;3;20250904;4;6;1050
31964;3;20250904;5;25;1034
31965;4;20250904;1;2;1051
31966;4;20250904;2;12;113
31967;4;20250904;3;15;131
31968;4;20250904;4;15;1083
31969;4;20250904;5;11;1082
31970;5;20250904;1;16;1076
31971;5;20250904;2;25;115
31972;5;20250904;3;22;1043
31973;5;20250904;4;25;1073
31974;5;20250904;5;10;117
31975;6;20250904;1;6;1049
31976;6;20250904;2;8;120
31977;6;20250904;3;5;215
31978;6;20250904;4;6;183
31979;6;20250904;5;7;111
31980;1;20250905;1;11;1089
31981;1;20250905;2;21;137
31982;1;20250905;3;3;981
31983;1;20250905;4;24;111
31984;1;20250905;5;18;1067
31985;2;20250905;1;6;171
31986;2;20250905;2;16;1059
31987;2;20250905;3;22;946
31988;2;20250905;4;16;128
31989;2;20250905;5;4;139
31990;3;20250905;1;25;138
31991;3;20250905;2;18;1041
31992;3;20250905;3;5;1086
31993;3;20250905;4;7;1043
31994;3;20250905;5;20;1014
31995;4;20250905;1;24;1027
31996;4;20250905;2;19;1094
31997;4;20250905;3;6;125
31998;4;20250905;4;14;1069
31999;4;20250905;5;15;1067
32000;5;20250905;1;12;1064
32001;5;20250905;2;16;1099
32002;5;20250905;3;2;1041
32003;5;20250905;4;7;1066
