id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50078;2;5;20250901;;45;157;41;Realizado
50079;5;1;20250902;2;16;24;44;Realizado
50080;6;5;20250903;;18;49;45;Realizado
50081;3;2;20250903;;11;93;25;Realizado
50082;1;4;20250903;;31;68;49;Realizado
50083;5;4;20250904;2;18;94;59;Realizado
50084;6;4;20250905;;22;67;19;Realizado
50085;3;4;20250905;;28;133;25;Cancelado
50086;4;4;20250907;2;17;85;36;Cancelado
50087;5;5;20250907;3;18;172;51;Cancelado
50088;4;4;20250909;1;10;94;17;Realizado
50089;4;1;20250911;4;25;173;30;Realizado
50090;5;3;20250911;4;30;157;21;Cancelado
50091;1;1;20250912;;25;125;59;Cancelado
50092;1;4;20250912;;19;139;57;Cancelado
50093;6;4;20250912;;25;143;32;Cancelado
50094;5;1;20250913;1;28;174;16;Realizado
50095;6;1;20250913;;25;139;26;Realizado
50096;1;3;20250914;;43;41;58;Cancelado
50097;5;4;20250917;1;16;44;46;Realizado
50098;6;1;20250918;;12;167;26;Cancelado
50099;3;4;20250919;;36;65;58;Realizado
50100;4;2;20250919;2;32;84;27;Realizado
50101;2;1;20250919;;15;120;48;Cancelado
50102;6;2;20250920;;35;62;38;Cancelado
50103;4;3;20250922;3;28;27;24;Realizado
50104;3;5;20250922;;21;67;50;Realizado
50105;5;5;20250923;1;23;128;41;Cancelado
50106;6;5;20250924;;25;22;22;Realizado
50107;6;3;20250924;;18;106;25;Realizado
50108;6;3;20250925;;17;34;16;Cancelado
50109;4;1;20250926;1;21;105;39;Cancelado
50110;4;4;20250926;3;38;72;50;Cancelado
50111;4;1;20250927;4;22;90;57;Cancelado
50112;3;1;20250928;;34;161;39;Realizado
50113;6;3;20250929;;43;62;51;Cancelado
50114;1;3;20250929;;23;120;32;Realizado
