id_transacao;id_tempo;id_unidade;id_convenio;receita_bruta;valor_glosa_inicial;valor_glosa_recuperada;custos_operacionais;data_pagamento_prevista;data_pagamento_real
100121;20250901;3;1;14907.49;0.0;0.0;8443.83;2025-10-11;2025-10-09
100122;20250901;5;3;6432.72;0.0;0.0;3257.09;2025-11-06;2025-11-19
100123;20250902;1;1;7453.76;0.0;0.0;4131.65;2025-10-09;2025-10-14
100124;20250902;3;3;6203.65;0.0;0.0;3379.23;2025-11-04;2025-11-06
100125;20250903;5;2;7760.36;0.0;0.0;3180.68;2025-10-26;2025-10-25
100126;20250903;2;2;8563.88;0.0;0.0;3579.01;2025-10-25;2025-11-04
100127;20250903;4;3;17577.64;1070.61;829.16;10289.0;2025-11-12;2025-11-18
100128;20250904;3;3;3713.12;0.0;0.0;1857.04;2025-11-05;2025-11-02
100129;20250904;4;3;7505.27;762.05;376.14;4503.09;2025-11-09;
100130;20250904;4;1;4029.39;0.0;0.0;2099.61;2025-10-07;2025-10-08
100131;20250905;4;2;8448.67;748.99;236.77;4671.34;2025-10-26;2025-10-31
100132;20250905;3;2;15902.01;0.0;0.0;9347.64;2025-10-30;2025-11-13
100133;20250905;4;3;8603.26;0.0;0.0;4757.88;2025-11-13;
100134;20250906;4;1;2707.36;0.0;0.0;1498.94;2025-10-08;2025-10-23
100135;20250907;4;2;2431.48;267.12;129.36;1156.87;2025-10-23;2025-11-02
100136;20250907;5;3;7985.57;0.0;0.0;3652.9;2025-11-10;2025-11-17
100137;20250908;3;3;16891.02;0.0;0.0;7411.83;2025-11-16;2025-11-28
100138;20250908;4;2;11619.54;0.0;0.0;5938.0;2025-10-31;2025-11-15
100139;20250909;4;2;9189.66;0.0;0.0;5186.9;2025-11-02;2025-11-03
100140;20250910;2;2;17732.92;2247.11;770.89;8483.13;2025-11-04;2025-11-19
100141;20250911;1;2;11935.52;842.49;597.14;6676.15;2025-11-03;2025-11-02
100142;20250911;3;2;10111.69;0.0;0.0;5384.7;2025-11-02;2025-11-17
100143;20250912;1;1;8534.56;0.0;0.0;3504.51;2025-10-19;2025-10-27
100144;20250912;4;3;15265.14;0.0;0.0;8670.49;2025-11-23;2025-11-24
100145;20250912;4;3;3498.25;0.0;0.0;1668.47;2025-11-13;2025-11-23
100146;20250913;1;2;7235.25;1697.19;1145.12;3946.06;2025-11-03;2025-11-01
100147;20250913;1;1;4974.29;0.0;0.0;2895.17;2025-10-16;2025-10-27
100148;20250914;3;3;6737.03;0.0;0.0;2937.23;2025-11-18;2025-11-15
100149;20250914;3;3;7825.87;0.0;0.0;4068.49;2025-11-17;2025-11-17
100150;20250915;1;2;17369.4;1121.78;657.0;7818.3;2025-11-10;2025-11-22
100151;20250916;1;2;13846.61;0.0;0.0;6618.97;2025-11-09;2025-11-17
100152;20250917;4;1;10122.38;0.0;0.0;5880.42;2025-10-29;2025-10-29
100153;20250918;1;2;12638.87;0.0;0.0;6672.88;2025-11-10;2025-11-20
100154;20250919;4;3;5929.44;0.0;0.0;2947.0;2025-11-23;2025-11-27
100155;20250919;2;1;2891.98;0.0;0.0;1671.85;2025-10-21;2025-11-01
100156;20250919;1;2;1719.85;0.0;0.0;741.87;2025-11-04;2025-11-06
100157;20250920;2;2;1661.8;0.0;0.0;854.29;2025-11-05;2025-11-16
100158;20250921;4;3;11246.71;0.0;0.0;5326.77;2025-11-26;2025-11-25
100159;20250922;3;3;12543.36;0.0;0.0;5780.19;2025-11-28;2025-12-04
100160;20250922;5;3;14687.69;0.0;0.0;6348.77;2025-11-29;2025-12-06
100161;20250922;3;2;11086.41;0.0;0.0;6536.08;2025-11-12;2025-11-13
100162;20250923;5;3;19241.84;0.0;0.0;9131.53;2025-12-03;2025-12-11
100163;20250924;5;1;1412.68;0.0;0.0;800.78;2025-10-25;2025-10-31
100164;20250924;3;1;2696.4;0.0;0.0;1088.02;2025-10-26;2025-11-10
100165;20250924;1;3;11918.4;0.0;0.0;6846.99;2025-11-30;2025-12-06
100166;20250925;3;1;9616.76;728.4;471.36;5170.06;2025-10-31;2025-11-03
100167;20250926;1;3;2658.66;0.0;0.0;1554.91;2025-11-27;2025-12-09
100168;20250926;4;2;14760.46;0.0;0.0;7548.89;2025-11-19;2025-11-26
100169;20250926;1;2;9366.41;0.0;0.0;3905.8;2025-11-17;2025-11-26
100170;20250927;1;2;16150.42;0.0;0.0;7438.08;2025-11-22;2025-11-21
100171;20250927;5;1;11002.67;0.0;0.0;5229.21;2025-11-05;2025-11-03
100172;20250928;1;2;15277.68;0.0;0.0;7683.94;2025-11-22;2025-11-19
100173;20250929;3;2;7700.54;0.0;0.0;4042.73;2025-11-20;2025-12-04
100174;20250929;3;1;14894.97;0.0;0.0;6398.12;2025-11-09;2025-11-15
100175;20250930;5;3;4335.5;0.0;0.0;2229.29;2025-12-01;2025-12-01
