id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60045;1;20250907;106;3258;25;0
60046;2;20250907;142;3041;35;1
60047;3;20250907;101;1650;100;0
60048;4;20250907;48;1025;31;0
60049;5;20250907;48;932;22;1
60050;1;20250914;48;2972;36;0
60051;2;20250914;66;2638;20;0
60052;3;20250914;117;968;93;0
60053;4;20250914;111;2249;54;0
60054;5;20250914;147;3470;59;1
60055;1;20250921;120;1074;55;0
60056;2;20250921;47;2171;33;0
60057;3;20250921;113;2759;67;0
60058;4;20250921;71;2244;34;1
60059;5;20250921;117;2532;52;1
60060;1;20250928;35;1325;57;0
60061;2;20250928;133;3839;42;0
60062;3;20250928;78;1198;81;0
60063;4;20250928;75;2487;42;0
60064;5;20250928;114;1800;23;0
